0⃣   0, keycap, zero
1⃣   1, number, one
🕜   1, 30, clock, time, one, thirty, 1:30, one-thirty
🕐   1, clock, time, one, 00, o’clock, 1:00, one o’clock
2⃣   2, number, two
🕝   2, 30, clock, time, two, thirty, 2:30, two-thirty
🕑   2, clock, time, two, 00, o’clock, 2:00, two o’clock
3⃣   3, keycap, three
🕞   3, 30, three, clock, time, thirty, 3:30, three-thirty
🕒   3, three, clock, time, 00, o’clock, 3:00, three o’clock
🍀   4, clover, four, irish, leaf, lucky, plant, four leaf clover
🕟   4, 30, four, clock, time, thirty, 4:30, four-thirty
🕓   4, four, clock, time, 00, o’clock, 4:00, four o’clock
4⃣   4, number, four
🕠   5, 30, clock, time, five, thirty, 5:30, five-thirty
🕔   5, clock, time, five, 00, o’clock, 5:00, five o’clock
5⃣   5, number, five
6⃣   6, six, number
🕡   6, 30, six, clock, thirty, 6:30, six-thirty
🕕   6, six, clock, time, 00, o’clock, 6:00, six o’clock
🕢   7, 30, clock, thirty, 7:30, seven, seven-thirty
7⃣   7, number, seven
🕖   7, clock, seven, 00, o’clock, 7:00, seven o’clock
🎱   8, game, ball, 8 ball, billiard, eight, pool 8 ball, 8ball
8⃣   8, number, eight
🕣   8, 30, clock, time, eight, thirty, 8:30, eight-thirty
🕗   8, clock, time, eight, 00, o’clock, 8:00, eight o’clock
9⃣   9, number, nine
🕤   9, 30, clock, time, nine, 9:30, thirty, nine-thirty
🕘   9, clock, time, nine, 9:00, 00, o’clock, nine o’clock
🕥   10, 30, clock, time, thirty, 10:30, ten, ten-thirty
🕙   10, clock, ten, 00, o’clock, 10:00, ten o’clock
🕦   11, 30, clock, time, thirty, 11:30, eleven, eleven-thirty
🕚   11, clock, time, eleven, 00, o’clock, 11:00, eleven o’clock
🕧   12, 30, clock, time, thirty, 12:30, twelve, twelve-thirty
🕛   12, clock, time, twelve, 00, o’clock, 12:00, twelve o’clock
🔞   18, forbidden, no, prohibited, not, underage, no one under eighteen, agerestriction, eighteen
🏪   24, building, convenience, 24 hours, store, convenience store
